CHANNEL ,Ch. Username,Channel ID,TITLE,URL,DATE
"
América Noticias",,,SinoPharm: ¿Qué se sabe de su eficacia y efectos secundarios? | Sanamente con el Doctor Huerta,https://www.youtube.com/watch?v=kAlPOoCbpuU,8-Jan-21
"
América Noticias",,,Vacuna Sinopharm tiene 90 % de efectividad en menores de 60 año | Primera Edición,https://www.youtube.com/watch?v=8AmgVyWNx9c,4-May-21
"
América Noticias",,,"¿Cuál es la efectividad de la vacuna de Sinopharm, según estudio del INS? | Primera Edición",https://www.youtube.com/watch?v=kOHHxaK0qw8,23-Jul-21
"
América Noticias",AméricaNoticiasOficial,,Vacuna Sinopharm: Datos que confirman su efectividad para salvar vidas | Utíl E Interesante,https://www.youtube.com/watch?v=aRhQpxn_3xg,6-Aug-21
24 Horas,@24horasperu,,Minsa: vacuna Sinopharm muestra 94% de efectividad,https://www.youtube.com/watch?v=VTEQQsm0ME8,4-Aug-21
24 Horas,@24horasperu,,¿Cuál es la efectividad de la vacuna de Sinopharm? (1/2),https://www.youtube.com/watch?v=UY9dgXisEPg,4-Aug-21
24 Horas,@24horasperu,,¿Cuál es la efectividad de la vacuna de Sinopharm? (2/2),https://www.youtube.com/watch?v=HlA8pyW5N1M,4-Aug-21
AFP Español,@afpes,,Perú compra 52 millones de dosis de vacunas contra el covid-19 a Sinopharm y AstraZeneca | AFP,https://www.youtube.com/watch?v=7FOQUwMQ3ko,6-Jan-21
América Noticias,,,Jefa de los ensayos clínicos de Sinopharm respondió a comisión del Congreso | Primera Edición,https://www.youtube.com/watch?v=X_uCR6KWytw,8-Mar-21
BBC News Mundo,,,Cuáles son las vacunas chinas que se aplican en América Latina y cuál es su eficacia | BBC Mundo,https://www.youtube.com/watch?v=Rj9JiCY49CE,28-Apr-21
CNN en Español,,,Llega a Perú el primer cargamento de vacunas de Sinopharm,https://www.youtube.com/watch?v=XgOj7jh9SrM&pp=ygUbbGEgcmVwdWJsaWNhIHBlcnUgc2lub3BoYXJt,7-Feb-21
Diario El Comercio,@DiarioElComercio,,Sinopharm y AstraZeneca: todo sobre las vacunas contra el COVID-19 que compró el PERÚ,https://www.youtube.com/watch?v=FXzG-4vN5IA,8-Jan-21
Diario El Comercio,@DiarioElComercio,,Sinopharm y AstraZeneca: Todo sobre las vacunas que compró el Perú | El Comercio | VideosEC,https://www.youtube.com/watch?v=g3I4rPgOA8c,5-Feb-21
Diario El Comercio,,,Coronavirus Perú: Francisco Sagasti recibe vacuna china Sinopharm,https://www.youtube.com/watch?v=z2RpNhE7vAc,9-Feb-21
Diario El Comercio,@DiarioElComercio,,Covid-19: mitos y verdades de la vacuna de Sinopharm | #LPD | #VideosEC,https://www.youtube.com/watch?v=eBUN3pDYpv0,6-Aug-21
Diario El Comercio,,,Vacuna Sinopharm: lo que no sabias sobre su efectividad frente al coronavirus,https://www.youtube.com/watch?v=l8Tmlzp-GEA,6-Aug-21
La República - LR+},,,Vacuna Sinopharm: este fin de semana llegarán al Perú 700 mil dosis - RTV Noticias,https://www.youtube.com/watch?v=OCdaqqQ3pjE&pp=ygUbbGEgcmVwdWJsaWNhIHBlcnUgc2lub3BoYXJt,11-Feb-21
Latina Noticias,@latinanoticias,,Vacuna de Sinopharm tiene 94% de efectividad según el Minsa,https://www.youtube.com/watch?v=ZyzvNFD_EHU,5-Aug-21
Latina Televisión,,,Sinopharm y Pfizer inician trámite de registro sanitario en el Perú,https://www.youtube.com/watch?v=I1k2yENgRBE,20-Jan-21
Latina Televisión,@Latinape,,Conozca todo sobre la efectividad de la vacuna de Sinopharm,https://www.youtube.com/watch?v=3VZXiMwyIQg,5-May-21
Minsa Peru,,,¿Conoces cómo funciona la vacuna Sinopharm?,https://www.youtube.com/watch?v=hgJSSy14dIA,26-Jan-21
PBO,,,Exjefe del INS Ernesto Bustamante sobre la segunda ola COVID 19 y FUERZA POPULAR y KEIKO FUJIMORI,https://www.youtube.com/watch?v=9NKE9OQ9BTk,24-Oct-20
PBO,,,Exdirector INS Ernesto Bustamante sobre primer lote de vacunas Sinopharm a Perú __ PBO Radio 91.9 FM,https://www.youtube.com/watch?v=5PzTJnq01ZY&lc=UgygfxcZtPDJHiTmP4V4AaABAg,6-Feb-21
Peru21 TV Channel,,,COVID-19 en Perú: Sinopharm anuncia que su vacuna es eficaz en un 79%,https://www.youtube.com/watch?v=Sk-UkktS4M4,30-Dec-20
Peru21 TV Channel,,,COVID-19 en Perú: LLEGADA DE VACUNAS SINOPHARM AL PERÚ,https://www.youtube.com/watch?v=5eo5ptas7R4,7-Feb-21
Peru21 TV Channel,,,EN VIVO Explican adquisición y eficacia de vacunas Sinopharm en el Congreso,https://www.youtube.com/watch?v=kg_OFkHnd80,10-Mar-21
Peru21 TV Channel,,,COVID 19: Comisión del Congreso exige realizar auditoría sobre ensayo de Sinopharm,https://www.youtube.com/watch?v=Yl6eBlrXjac,10-Mar-21
Peru21 TV Channel,,,Coronavirus Perú : Cosas que sabias sobre la efectividad de la Vacuna Sinopharm ante el COVID-19,https://www.youtube.com/watch?v=ubRj_S3gJEM,5-Aug-21
Presidencia de la República del Perú,,,Presidente Pedro Castillo supervisó llegada de lote de vacunas de Sinopharm,https://www.youtube.com/watch?v=TLrrqZNTWMw,10-Sep-21
RPP Noticias,@RPPNoticias,,Vacuna COVID-19: avances del ensayo clínico del laboratorio Sinopharm en Perú,https://www.youtube.com/watch?v=NU9mxmYN5Fo,18-Nov-20
RPP Noticias,@RPPNoticias,,Germán Málaga: “la vacuna Sinopharm consiste en un virus cultivado que luego fue etsinactivado”,https://www.youtube.com/watch?v=EVl9-KEfYEY,7-Jan-21
RPP Noticias,@RPPNoticias,,Perú: Conoce los testimonios de dos voluntarias de la vacuna Sinopharm,https://www.youtube.com/watch?v=Mh8eDIT3h_8,7-Feb-21
RPP Noticias,@RPPNoticias,,Llegó al Perú el segundo lote de 700 000 vacunas de Sinopharm contra la COVID-19,https://www.youtube.com/watch?v=NXUwCP9YRdE,13-Feb-21
RPP Noticias,@RPPNoticias,,"Sobre confianza en vacuna Sinopharm: “basado en el reporte peruano preliminar, hay que esperar”",https://www.youtube.com/watch?v=TvJvNftwQ3Y,8-Mar-21
