Category: All categories

Week,vacuna covid: (Peru),vacuna sinopharm: (Peru),sinopharm efectos secundarios: (Peru)
2020-11-01,10,0,0
2020-11-08,11,0,0
2020-11-15,12,0,0
2020-11-22,14,0,0
2020-11-29,16,0,0
2020-12-06,22,1,0
2020-12-13,23,1,0
2020-12-20,22,0,0
2020-12-27,21,1,0
2021-01-03,33,22,0
2021-01-10,25,8,0
2021-01-17,24,5,0
2021-01-24,30,12,0
2021-01-31,31,12,0
2021-02-07,100,58,4
2021-02-14,44,24,0
2021-02-21,30,13,0
2021-02-28,69,32,0
2021-03-07,75,27,0
2021-03-14,73,8,0
2021-03-21,64,8,0
2021-03-28,48,8,0
2021-04-04,34,9,0
2021-04-11,37,8,0
2021-04-18,46,5,0
2021-04-25,51,6,0
2021-05-02,44,10,0
2021-05-09,50,6,0
2021-05-16,65,5,0
2021-05-23,67,5,0
2021-05-30,49,3,0
2021-06-06,44,3,0
2021-06-13,53,4,0
2021-06-20,56,3,0
2021-06-27,92,5,0
2021-07-04,91,8,0
2021-07-11,75,15,0
2021-07-18,73,20,0
2021-07-25,71,13,0
2021-08-01,78,45,2
2021-08-08,56,20,2
2021-08-15,46,10,0
2021-08-22,54,14,0
2021-08-29,62,19,1
2021-09-05,87,28,2
2021-09-12,85,27,2
2021-09-19,58,18,2
2021-09-26,59,16,2
2021-10-03,46,12,1
2021-10-10,61,16,2
2021-10-17,39,10,1
2021-10-24,39,7,0
2021-10-31,56,9,0
2021-11-07,38,6,0
2021-11-14,48,7,0
2021-11-21,43,7,0
2021-11-28,48,5,0
2021-12-05,78,9,0
2021-12-12,65,7,0
2021-12-19,58,6,0
2021-12-26,51,6,0
2022-01-02,61,6,0
2022-01-09,61,4,0
2022-01-16,48,2,0
2022-01-23,48,4,0
2022-01-30,42,3,0
2022-02-06,35,4,0
2022-02-13,30,2,0
2022-02-20,33,2,0
2022-02-27,30,2,0
2022-03-06,27,2,0
2022-03-13,26,2,0
2022-03-20,31,3,0
2022-03-27,45,4,0
2022-04-03,42,3,0
2022-04-10,39,2,0
2022-04-17,36,2,0
2022-04-24,35,2,0
