Category: All categories

Week,pfizer vacuna: (Peru),sinopharm vacuna: (Peru),AstraZeneca vacuna: (Peru),vacuna covid: (Peru),vacuna efectividad: (Peru)
2020-09-27,0,0,0,17,0
2020-10-04,0,0,0,10,0
2020-10-11,0,0,0,11,0
2020-10-18,0,0,0,14,0
2020-10-25,0,0,0,9,0
2020-11-01,0,0,0,10,0
2020-11-08,4,0,0,11,0
2020-11-15,2,0,0,12,0
2020-11-22,4,0,0,14,0
2020-11-29,4,0,1,16,0
2020-12-06,6,1,0,22,0
2020-12-13,7,1,0,23,0
2020-12-20,7,0,0,22,0
2020-12-27,5,1,1,21,0
2021-01-03,9,22,6,33,4
2021-01-10,5,8,1,25,2
2021-01-17,4,5,0,24,1
2021-01-24,4,12,2,30,2
2021-01-31,9,12,3,31,5
2021-02-07,22,58,3,100,11
2021-02-14,9,24,2,44,3
2021-02-21,7,13,2,30,2
2021-02-28,21,32,2,69,15
2021-03-07,24,27,4,75,9
2021-03-14,18,8,8,73,4
2021-03-21,12,8,3,64,4
2021-03-28,10,8,2,48,3
2021-04-04,10,9,2,34,5
2021-04-11,12,8,4,37,4
2021-04-18,15,5,10,46,4
2021-04-25,16,6,5,51,4
2021-05-02,18,10,3,44,4
2021-05-09,21,6,3,50,3
2021-05-16,23,5,3,65,3
2021-05-23,23,5,4,67,3
2021-05-30,20,3,2,49,2
2021-06-06,16,3,3,44,2
2021-06-13,18,4,3,53,2
2021-06-20,19,3,2,56,2
2021-06-27,25,5,3,92,4
2021-07-04,28,8,2,91,5
2021-07-11,37,15,3,75,6
2021-07-18,30,20,3,73,10
2021-07-25,32,13,2,71,5
2021-08-01,37,45,4,78,15
2021-08-08,24,20,3,56,5
2021-08-15,15,10,3,46,2
2021-08-22,17,14,3,54,3
2021-08-29,19,19,4,62,4
2021-09-05,26,28,6,87,6
2021-09-12,35,27,4,85,4
2021-09-19,22,18,8,58,4
2021-09-26,24,16,10,59,5
2021-10-03,18,12,7,46,3
2021-10-10,24,16,76,61,12
2021-10-17,20,10,35,39,5
2021-10-24,14,7,16,39,2
2021-10-31,26,9,12,56,3
2021-11-07,15,6,10,38,2
2021-11-14,13,7,9,48,2
2021-11-21,13,7,7,43,2
2021-11-28,13,5,5,48,2
2021-12-05,13,9,5,78,0
2021-12-12,11,7,6,65,0
2021-12-19,13,6,5,58,0
2021-12-26,16,6,4,51,0
2022-01-02,15,6,4,61,0
2022-01-09,15,4,4,61,1
2022-01-16,11,2,3,48,0
2022-01-23,9,4,6,48,0
2022-01-30,9,3,12,42,2
2022-02-06,7,4,11,35,1
2022-02-13,8,2,8,30,0
2022-02-20,7,2,8,33,1
2022-02-27,5,2,6,30,0
2022-03-06,5,2,5,27,0
2022-03-13,5,2,4,26,1
2022-03-20,5,3,7,31,1
2022-03-27,8,4,14,45,1
2022-04-03,7,3,10,42,1
2022-04-10,6,2,7,39,1
2022-04-17,6,2,4,36,1
2022-04-24,5,2,3,35,1
2022-05-01,4,1,1,29,1
2022-05-08,4,1,2,27,0
2022-05-15,3,1,1,24,0
2022-05-22,2,1,1,24,0
2022-05-29,2,0,0,22,0
