Category: All categories

Week,vacuna pfizer efectividad: (Peru),vacuna sinopharm: (Peru),sinopharm efectividad: (Peru),Pfizer efectividad: (Peru),vacuna sinopharm efectividad: (Peru)
2020-12-27,0,2,0,0,0
2021-01-03,2,37,6,0,5
2021-01-10,0,14,2,0,0
2021-01-17,0,8,0,0,0
2021-01-24,0,21,0,0,0
2021-01-31,0,20,6,2,4
2021-02-07,3,100,15,4,11
2021-02-14,0,42,5,0,5
2021-02-21,0,22,4,0,3
2021-02-28,4,54,21,5,15
2021-03-07,3,47,10,4,8
2021-03-14,3,14,0,3,0
2021-03-21,1,15,2,2,2
2021-03-28,2,14,2,2,2
2021-04-04,0,16,3,1,3
2021-04-11,2,13,4,2,2
2021-04-18,1,8,1,0,2
2021-04-25,3,10,2,3,2
2021-05-02,3,18,5,5,4
2021-05-09,0,10,0,2,0
2021-05-16,3,9,0,3,0
2021-05-23,3,8,2,3,2
2021-05-30,2,5,0,2,0
2021-06-06,0,5,0,1,0
2021-06-13,2,8,2,2,0
2021-06-20,2,6,2,2,0
2021-06-27,4,9,3,4,2
2021-07-04,3,13,5,5,4
2021-07-11,4,26,10,5,7
2021-07-18,4,34,12,7,9
2021-07-25,2,22,7,5,5
2021-08-01,7,77,35,11,20
2021-08-08,3,35,10,5,6
2021-08-15,0,17,4,2,2
2021-08-22,0,25,6,2,3
2021-08-29,2,32,6,3,4
2021-09-05,4,48,8,5,6
2021-09-12,3,47,8,5,4
2021-09-19,3,31,5,3,3
2021-09-26,2,28,5,3,3
2021-10-03,0,20,4,2,0
2021-10-10,7,27,7,8,5
2021-10-17,4,18,3,3,2
2021-10-24,0,12,2,2,2
2021-10-31,2,15,3,3,2
2021-11-07,2,11,2,2,0
2021-11-14,0,12,2,0,0
2021-11-21,0,11,0,0,2
2021-11-28,0,8,2,0,0
2021-12-05,0,15,0,0,0
2021-12-12,0,12,0,0,0
2021-12-19,0,11,0,0,0
2021-12-26,0,10,0,2,0
2022-01-02,0,10,0,0,0
2022-01-09,0,7,0,0,0
2022-01-16,0,4,0,0,0
2022-01-23,0,6,0,0,0
2022-01-30,0,5,0,0,0
2022-02-06,0,7,0,0,0
2022-02-13,0,4,0,0,0
2022-02-20,0,4,0,0,0
2022-02-27,0,3,0,0,0
2022-03-06,0,3,0,1,0
2022-03-13,0,4,0,0,0
2022-03-20,0,5,0,0,0
2022-03-27,0,6,0,0,0
2022-04-03,0,5,0,0,0
2022-04-10,0,4,0,0,0
2022-04-17,0,4,0,0,0
2022-04-24,0,3,0,0,0
2022-05-01,0,1,0,0,0
2022-05-08,0,2,0,0,0
2022-05-15,0,1,0,0,0
2022-05-22,0,2,0,0,0
2022-05-29,0,0,0,0,0
