date,vacuna Sinopharm,sinopharm,sinopharm vacuna,vacuna covid,isPartial
2020-09-27,0,1,0,16,False
2020-10-04,1,0,0,10,False
2020-10-11,0,0,0,10,False
2020-10-18,0,1,1,13,False
2020-10-25,0,0,0,9,False
2020-11-01,0,0,0,9,False
2020-11-08,0,1,0,11,False
2020-11-15,0,0,0,11,False
2020-11-22,1,1,0,13,False
2020-11-29,0,0,0,16,False
2020-12-06,2,2,1,21,False
2020-12-13,1,3,1,22,False
2020-12-20,0,0,0,21,False
2020-12-27,1,2,1,20,False
2021-01-03,21,34,20,32,False
2021-01-10,8,14,7,24,False
2021-01-17,5,8,5,23,False
2021-01-24,12,20,12,29,False
2021-01-31,11,18,12,30,False
2021-02-07,55,79,55,94,False
2021-02-14,23,36,22,40,False
2021-02-21,12,17,12,28,False
2021-02-28,31,54,30,66,False
2021-03-07,25,45,25,72,False
2021-03-14,7,13,8,69,False
2021-03-21,8,14,8,60,False
2021-03-28,8,12,8,45,False
2021-04-04,9,12,9,32,False
2021-04-11,7,14,7,36,False
2021-04-18,5,8,5,43,False
2021-04-25,6,10,6,49,False
2021-05-02,10,18,10,41,False
2021-05-09,5,8,5,48,False
2021-05-16,5,8,5,63,False
2021-05-23,4,7,4,62,False
2021-05-30,2,4,3,45,False
2021-06-06,3,4,3,43,False
2021-06-13,5,8,4,50,False
2021-06-20,3,6,3,54,False
2021-06-27,5,8,5,86,False
2021-07-04,8,13,8,86,False
2021-07-11,15,26,14,72,False
2021-07-18,19,31,19,70,False
2021-07-25,12,19,11,67,False
2021-08-01,43,100,43,73,False
2021-08-08,19,35,19,53,False
2021-08-15,10,19,10,43,False
2021-08-22,13,24,14,51,False
2021-08-29,17,30,18,58,False
2021-09-05,27,50,27,84,False
2021-09-12,26,51,26,80,False
2021-09-19,18,34,17,55,False
2021-09-26,16,30,16,57,False
2021-10-03,11,22,11,46,False
2021-10-10,15,28,15,57,False
2021-10-17,10,17,9,38,False
2021-10-24,7,12,7,36,False
2021-10-31,8,14,8,53,False
2021-11-07,6,10,6,36,False
2021-11-14,6,11,6,45,False
2021-11-21,6,11,6,43,False
2021-11-28,5,8,5,45,False
2021-12-05,8,13,8,74,False
2021-12-12,7,12,7,61,False
2021-12-19,6,13,6,57,False
2021-12-26,5,11,6,49,False
2022-01-02,5,11,6,58,False
2022-01-09,4,9,4,59,False
2022-01-16,2,6,2,44,False
2022-01-23,4,7,4,46,False
2022-01-30,3,6,3,40,False
2022-02-06,4,7,4,33,False
2022-02-13,2,4,2,29,False
2022-02-20,2,4,2,31,False
2022-02-27,2,4,2,29,False
2022-03-06,2,4,2,26,False
2022-03-13,2,3,2,24,False
2022-03-20,3,4,2,30,False
2022-03-27,4,6,4,43,False
2022-04-03,3,5,3,38,False
2022-04-10,2,4,2,37,False
2022-04-17,2,3,2,35,False
2022-04-24,1,2,1,35,False
2022-05-01,1,2,1,28,False
2022-05-08,1,2,1,26,False
2022-05-15,1,1,1,23,False
2022-05-22,1,1,1,23,False
2022-05-29,0,1,1,21,False
2022-06-05,0,1,0,19,False
2022-06-12,1,1,0,20,False
2022-06-19,0,1,0,23,False
2022-06-26,0,1,0,24,False
