date,pfizer efectividad,efectividad pfizer,vacuna pfizer efectividad,pfizer efectividad vacuna,vacuna covid,isPartial
2020-09-27,0,0,0,0,18,False
2020-10-04,0,0,0,0,11,False
2020-10-11,0,0,0,0,11,False
2020-10-18,0,0,0,0,15,False
2020-10-25,0,0,0,0,9,False
2020-11-01,0,0,0,0,10,False
2020-11-08,0,0,0,0,12,False
2020-11-15,0,0,0,0,12,False
2020-11-22,0,0,0,0,14,False
2020-11-29,0,0,0,0,17,False
2020-12-06,0,0,0,0,22,False
2020-12-13,0,0,0,0,23,False
2020-12-20,0,0,0,0,22,False
2020-12-27,0,0,0,0,21,False
2021-01-03,0,0,0,0,34,False
2021-01-10,0,0,0,0,25,False
2021-01-17,0,0,0,0,24,False
2021-01-24,0,0,0,0,31,False
2021-01-31,1,0,0,0,32,False
2021-02-07,2,2,2,2,100,False
2021-02-14,0,0,0,0,43,False
2021-02-21,0,0,0,0,30,False
2021-02-28,3,2,2,2,70,False
2021-03-07,2,2,2,2,78,False
2021-03-14,2,2,1,1,74,False
2021-03-21,1,1,1,1,64,False
2021-03-28,1,1,1,1,49,False
2021-04-04,1,0,0,1,34,False
2021-04-11,1,1,1,1,39,False
2021-04-18,1,1,1,1,47,False
2021-04-25,2,1,1,1,51,False
2021-05-02,3,2,1,2,44,False
2021-05-09,1,1,1,1,51,False
2021-05-16,2,2,1,1,67,False
2021-05-23,2,2,2,1,66,False
2021-05-30,2,2,1,1,48,False
2021-06-06,1,0,1,0,45,False
2021-06-13,1,2,1,1,54,False
2021-06-20,2,1,1,1,57,False
2021-06-27,2,2,2,2,93,False
2021-07-04,3,3,2,2,92,False
2021-07-11,3,3,2,2,76,False
2021-07-18,3,3,2,3,75,False
2021-07-25,2,3,3,2,71,False
2021-08-01,7,6,4,4,78,False
2021-08-08,2,3,1,2,58,False
2021-08-15,1,1,0,0,46,False
2021-08-22,1,1,0,0,55,False
2021-08-29,2,2,1,1,62,False
2021-09-05,3,3,1,2,89,False
2021-09-12,3,3,2,2,86,False
2021-09-19,2,2,1,1,59,False
2021-09-26,2,2,2,2,60,False
2021-10-03,1,0,0,0,49,False
2021-10-10,4,5,3,3,61,False
2021-10-17,3,3,2,2,41,False
2021-10-24,1,1,0,1,39,False
2021-10-31,2,1,0,0,57,False
2021-11-07,1,1,1,1,38,False
2021-11-14,0,0,0,0,48,False
2021-11-21,0,1,0,1,46,False
2021-11-28,0,1,0,0,47,False
2021-12-05,0,0,0,0,79,False
2021-12-12,0,0,0,0,66,False
2021-12-19,0,0,0,0,61,False
2021-12-26,1,0,0,0,50,False
2022-01-02,0,0,0,0,63,False
2022-01-09,1,0,0,0,62,False
2022-01-16,0,0,0,0,47,False
2022-01-23,0,1,0,0,49,False
2022-01-30,1,1,0,0,42,False
2022-02-06,0,0,0,0,35,False
2022-02-13,0,0,0,0,31,False
2022-02-20,0,0,0,0,33,False
2022-02-27,0,0,0,0,30,False
2022-03-06,0,0,0,0,27,False
2022-03-13,1,0,0,0,26,False
2022-03-20,0,0,0,1,32,False
2022-03-27,0,0,0,1,45,False
2022-04-03,0,0,0,0,41,False
2022-04-10,0,0,0,0,40,False
2022-04-17,0,0,0,0,37,False
2022-04-24,0,0,0,0,38,False
2022-05-01,0,0,0,0,30,False
2022-05-08,0,0,0,0,28,False
2022-05-15,0,0,0,0,25,False
2022-05-22,0,0,0,0,25,False
2022-05-29,0,0,0,0,22,False
2022-06-05,0,0,0,0,21,False
2022-06-12,0,0,0,0,21,False
2022-06-19,0,0,0,0,25,False
2022-06-26,0,0,0,0,25,False
