date,covid vacuna,AstraZeneca,AstraZeneca efectividad,vacuna covid,isPartial
2020-09-27,13,0,0,13,False
2020-10-04,8,1,0,8,False
2020-10-11,8,0,0,8,False
2020-10-18,11,2,0,11,False
2020-10-25,7,1,0,7,False
2020-11-01,7,0,0,7,False
2020-11-08,9,1,0,9,False
2020-11-15,9,0,0,9,False
2020-11-22,11,1,0,11,False
2020-11-29,12,1,0,12,False
2020-12-06,17,1,0,17,False
2020-12-13,17,1,0,17,False
2020-12-20,17,0,0,17,False
2020-12-27,16,3,0,16,False
2021-01-03,26,10,0,26,False
2021-01-10,19,3,0,19,False
2021-01-17,19,1,0,19,False
2021-01-24,23,6,0,23,False
2021-01-31,24,5,0,24,False
2021-02-07,76,6,0,76,False
2021-02-14,32,3,0,32,False
2021-02-21,22,2,0,22,False
2021-02-28,53,4,0,53,False
2021-03-07,58,8,0,58,False
2021-03-14,55,13,0,55,False
2021-03-21,48,4,1,48,False
2021-03-28,36,3,0,36,False
2021-04-04,25,4,0,25,False
2021-04-11,29,5,0,29,False
2021-04-18,35,15,1,35,False
2021-04-25,39,7,0,39,False
2021-05-02,33,5,0,33,False
2021-05-09,38,6,0,38,False
2021-05-16,51,4,0,51,False
2021-05-23,50,5,0,50,False
2021-05-30,37,4,0,37,False
2021-06-06,34,4,0,34,False
2021-06-13,40,4,0,40,False
2021-06-20,43,3,0,43,False
2021-06-27,69,4,0,69,False
2021-07-04,69,3,1,69,False
2021-07-11,58,4,0,58,False
2021-07-18,56,5,0,56,False
2021-07-25,54,3,0,54,False
2021-08-01,59,6,0,59,False
2021-08-08,42,4,0,42,False
2021-08-15,34,4,0,34,False
2021-08-22,41,4,0,41,False
2021-08-29,47,5,0,47,False
2021-09-05,68,8,1,68,False
2021-09-12,64,5,0,64,False
2021-09-19,44,10,1,44,False
2021-09-26,46,12,2,46,False
2021-10-03,37,8,1,37,False
2021-10-10,46,100,11,46,False
2021-10-17,31,46,4,31,False
2021-10-24,29,20,2,29,False
2021-10-31,43,16,1,43,False
2021-11-07,29,14,1,29,False
2021-11-14,36,12,1,36,False
2021-11-21,35,9,1,35,False
2021-11-28,36,6,0,36,False
2021-12-05,59,8,0,59,False
2021-12-12,49,7,0,49,False
2021-12-19,46,6,0,46,False
2021-12-26,39,6,0,39,False
2022-01-02,47,5,0,47,False
2022-01-09,47,5,0,47,False
2022-01-16,36,4,0,36,False
2022-01-23,37,9,1,37,False
2022-01-30,32,16,1,32,False
2022-02-06,26,15,1,26,False
2022-02-13,23,11,1,23,False
2022-02-20,25,10,1,25,False
2022-02-27,23,8,0,23,False
2022-03-06,21,6,0,21,False
2022-03-13,19,7,0,19,False
2022-03-20,24,10,0,24,False
2022-03-27,34,18,1,34,False
2022-04-03,31,12,1,31,False
2022-04-10,30,8,0,30,False
2022-04-17,28,4,0,28,False
2022-04-24,28,3,0,28,False
2022-05-01,22,1,0,22,False
2022-05-08,21,2,0,21,False
2022-05-15,18,1,0,18,False
2022-05-22,19,1,0,19,False
2022-05-29,17,1,0,17,False
2022-06-05,16,1,0,16,False
2022-06-12,16,0,0,16,False
2022-06-19,19,1,0,19,False
2022-06-26,19,1,0,19,False
