Category: All categories

Week,vacuna sinopharm efectividad: (Peru),vacuna sinopharm efectos secundarios: (Peru)
2020-09-27,0,0
2020-10-04,0,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,0,0
2020-11-15,0,0
2020-11-22,0,0
2020-11-29,0,0
2020-12-06,0,0
2020-12-13,0,0
2020-12-20,0,0
2020-12-27,0,0
2021-01-03,23,0
2021-01-10,0,0
2021-01-17,0,10
2021-01-24,0,0
2021-01-31,20,0
2021-02-07,53,26
2021-02-14,26,0
2021-02-21,13,0
2021-02-28,74,0
2021-03-07,39,0
2021-03-14,0,0
2021-03-21,8,0
2021-03-28,10,0
2021-04-04,13,0
2021-04-11,10,0
2021-04-18,8,0
2021-04-25,9,0
2021-05-02,19,0
2021-05-09,0,0
2021-05-16,0,0
2021-05-23,9,0
2021-05-30,0,0
2021-06-06,0,0
2021-06-13,0,0
2021-06-20,0,0
2021-06-27,8,0
2021-07-04,18,0
2021-07-11,36,0
2021-07-18,46,0
2021-07-25,23,0
2021-08-01,100,11
2021-08-08,31,14
2021-08-15,11,7
2021-08-22,16,0
2021-08-29,19,12
2021-09-05,29,19
2021-09-12,22,16
2021-09-19,16,12
2021-09-26,16,10
2021-10-03,0,0
2021-10-10,26,13
2021-10-17,9,0
2021-10-24,12,0
2021-10-31,11,0
2021-11-07,0,0
2021-11-14,0,0
2021-11-21,11,0
2021-11-28,0,0
2021-12-05,0,0
2021-12-12,0,0
2021-12-19,0,0
2021-12-26,0,0
