Category: All categories

Week,sinopharm efectividad: (Peru)
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,16
2021-01-10,7
2021-01-17,0
2021-01-24,0
2021-01-31,16
2021-02-07,43
2021-02-14,14
2021-02-21,12
2021-02-28,61
2021-03-07,29
2021-03-14,0
2021-03-21,7
2021-03-28,6
2021-04-04,9
2021-04-11,11
2021-04-18,4
2021-04-25,6
2021-05-02,14
2021-05-09,0
2021-05-16,0
2021-05-23,5
2021-05-30,0
2021-06-06,0
2021-06-13,6
2021-06-20,6
2021-06-27,10
2021-07-04,13
2021-07-11,28
2021-07-18,34
2021-07-25,21
2021-08-01,100
2021-08-08,29
2021-08-15,10
2021-08-22,18
2021-08-29,17
2021-09-05,24
2021-09-12,22
2021-09-19,15
2021-09-26,14
2021-10-03,10
2021-10-10,21
2021-10-17,7
2021-10-24,5
2021-10-31,9
2021-11-07,5
2021-11-14,5
2021-11-21,0
2021-11-28,4
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
