Category: All categories

Week,sinopharm vacuna: (Peru),sinopharm efectividad: (Peru)
2020-09-27,0,0
2020-10-04,0,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,0,0
2020-11-15,0,0
2020-11-22,0,0
2020-11-29,0,0
2020-12-06,2,0
2020-12-13,3,0
2020-12-20,0,0
2020-12-27,2,0
2021-01-03,37,6
2021-01-10,14,2
2021-01-17,8,0
2021-01-24,21,0
2021-01-31,20,6
2021-02-07,100,15
2021-02-14,42,5
2021-02-21,22,4
2021-02-28,54,21
2021-03-07,47,10
2021-03-14,14,0
2021-03-21,15,2
2021-03-28,14,2
2021-04-04,16,3
2021-04-11,13,4
2021-04-18,8,1
2021-04-25,10,2
2021-05-02,18,5
2021-05-09,10,0
2021-05-16,9,0
2021-05-23,8,2
2021-05-30,5,0
2021-06-06,5,0
2021-06-13,8,2
2021-06-20,6,2
2021-06-27,9,3
2021-07-04,13,5
2021-07-11,26,10
2021-07-18,34,12
2021-07-25,22,7
2021-08-01,77,35
2021-08-08,35,10
2021-08-15,17,4
2021-08-22,25,6
2021-08-29,32,6
2021-09-05,48,8
2021-09-12,47,8
2021-09-19,31,5
2021-09-26,28,5
2021-10-03,20,4
2021-10-10,27,7
2021-10-17,18,3
2021-10-24,12,2
2021-10-31,15,3
2021-11-07,11,2
2021-11-14,12,2
2021-11-21,11,0
2021-11-28,8,2
2021-12-05,15,0
2021-12-12,12,0
2021-12-19,11,0
2021-12-26,10,0
2022-01-02,10,0
2022-01-09,7,0
2022-01-16,4,0
2022-01-23,6,0
2022-01-30,5,0
2022-02-06,7,0
2022-02-13,4,0
2022-02-20,4,0
2022-02-27,3,0
2022-03-06,3,0
2022-03-13,4,0
2022-03-20,5,0
2022-03-27,6,0
2022-04-03,5,0
2022-04-10,4,0
2022-04-17,4,0
2022-04-24,3,0
2022-05-01,1,0
2022-05-08,2,0
2022-05-15,1,0
2022-05-22,2,0
2022-05-29,0,0
2022-06-05,0,0
2022-06-12,0,0
2022-06-19,0,0
2022-06-26,0,0
2022-07-03,0,0
2022-07-10,0,0
2022-07-17,0,0
2022-07-24,0,0
2022-07-31,0,0
2022-08-07,0,0
2022-08-14,0,0
2022-08-21,0,0
2022-08-28,0,0
2022-09-04,0,0
2022-09-11,0,0
2022-09-18,0,0
2022-09-25,0,0
