Category: All categories

Week,vacuna covid: (Peru),vacuna sinopharm: (Peru),vacuna sinovac: (Peru)
2020-11-01,10,0,0
2020-11-08,12,0,0
2020-11-15,11,0,0
2020-11-22,14,1,0
2020-11-29,16,0,0
2020-12-06,22,1,0
2020-12-13,23,2,0
2020-12-20,23,1,0
2020-12-27,21,2,0
2021-01-03,34,22,0
2021-01-10,25,8,0
2021-01-17,24,4,0
2021-01-24,30,12,0
2021-01-31,33,12,1
2021-02-07,100,60,2
2021-02-14,45,25,0
2021-02-21,31,13,1
2021-02-28,71,33,1
2021-03-07,79,28,3
2021-03-14,76,8,2
2021-03-21,64,9,1
2021-03-28,49,8,0
2021-04-04,34,10,0
2021-04-11,38,8,0
2021-04-18,48,5,0
2021-04-25,53,6,0
2021-05-02,45,10,0
2021-05-09,51,5,0
2021-05-16,67,6,0
2021-05-23,68,5,1
2021-05-30,50,3,1
2021-06-06,46,3,1
2021-06-13,54,5,0
2021-06-20,59,4,0
2021-06-27,94,5,1
2021-07-04,93,8,1
2021-07-11,76,16,2
2021-07-18,77,21,3
2021-07-25,74,12,1
2021-08-01,79,46,2
2021-08-08,58,21,1
2021-08-15,47,10,1
2021-08-22,54,15,1
2021-08-29,62,20,2
2021-09-05,89,29,1
2021-09-12,88,28,2
2021-09-19,59,19,0
2021-09-26,61,18,1
2021-10-03,47,12,0
2021-10-10,62,17,0
2021-10-17,41,11,0
2021-10-24,41,7,0
2021-10-31,57,9,0
2021-11-07,40,6,0
2021-11-14,49,7,0
2021-11-21,45,6,0
2021-11-28,49,5,0
2021-12-05,81,8,0
2021-12-12,68,7,0
2021-12-19,60,7,0
2021-12-26,52,5,0
2022-01-02,63,6,0
2022-01-09,63,5,0
2022-01-16,50,3,0
2022-01-23,50,3,0
2022-01-30,44,4,0
2022-02-06,35,4,0
2022-02-13,31,2,0
2022-02-20,35,2,0
2022-02-27,31,2,0
2022-03-06,28,2,0
2022-03-13,26,2,0
2022-03-20,32,3,0
2022-03-27,46,4,<1
2022-04-03,42,3,0
2022-04-10,41,2,0
2022-04-17,38,2,0
2022-04-24,36,2,0
