Category: All categories

Week,bono: (Peru),carnet de vacunacion: (Peru),copa america: (Peru),eliminatorias qatar: (Peru),vacuna covid: (Peru)
2020-09-27,31,0,<1,1,1
2020-10-04,80,0,<1,14,<1
2020-10-11,66,0,1,13,<1
2020-10-18,42,0,<1,1,<1
2020-10-25,32,0,<1,1,<1
2020-11-01,34,<1,<1,1,<1
2020-11-08,28,0,<1,10,<1
2020-11-15,32,0,<1,10,<1
2020-11-22,29,0,<1,<1,<1
2020-11-29,34,0,<1,<1,1
2020-12-06,44,0,<1,<1,1
2020-12-13,43,0,<1,<1,1
2020-12-20,31,0,<1,<1,1
2020-12-27,18,0,<1,<1,1
2021-01-03,20,0,<1,<1,1
2021-01-10,35,0,<1,<1,1
2021-01-17,46,0,<1,<1,1
2021-01-24,32,0,<1,<1,1
2021-01-31,25,0,<1,<1,1
2021-02-07,18,0,<1,<1,3
2021-02-14,100,0,<1,<1,1
2021-02-21,68,0,<1,<1,1
2021-02-28,58,0,<1,1,2
2021-03-07,33,0,<1,<1,2
2021-03-14,24,0,<1,<1,2
2021-03-21,34,0,<1,2,2
2021-03-28,27,0,<1,2,1
2021-04-04,30,0,<1,<1,1
2021-04-11,19,0,<1,<1,1
2021-04-18,17,0,<1,<1,1
2021-04-25,13,0,<1,<1,2
2021-05-02,11,0,<1,<1,1
2021-05-09,10,0,<1,<1,2
2021-05-16,8,0,1,<1,2
2021-05-23,9,<1,1,1,2
2021-05-30,20,<1,2,10,1
2021-06-06,11,<1,7,11,1
2021-06-13,10,<1,45,1,2
2021-06-20,5,<1,62,1,2
2021-06-27,7,<1,74,1,3
2021-07-04,5,<1,47,1,3
2021-07-11,5,<1,7,1,2
2021-07-18,5,<1,1,<1,2
2021-07-25,6,<1,1,<1,2
2021-08-01,9,<1,1,<1,2
2021-08-08,8,1,<1,<1,2
2021-08-15,13,<1,<1,1,1
2021-08-22,17,<1,<1,1,2
2021-08-29,19,1,1,12,2
2021-09-05,25,1,2,22,3
2021-09-12,46,1,<1,1,3
2021-09-19,87,1,<1,1,2
2021-09-26,31,1,<1,1,2
2021-10-03,81,1,1,15,1
2021-10-10,44,1,1,35,2
2021-10-17,35,2,<1,2,1
2021-10-24,32,1,<1,1,1
2021-10-31,33,1,<1,1,2
2021-11-07,31,2,<1,21,1
2021-11-14,29,7,1,37,1
2021-11-21,20,4,<1,2,1
2021-11-28,38,5,<1,1,1
2021-12-05,42,38,<1,1,2
2021-12-12,48,31,<1,1,2
2021-12-19,37,17,<1,1,2
2021-12-26,32,14,<1,1,2
2022-01-02,42,15,<1,1,2
2022-01-09,39,14,<1,1,2
2022-01-16,32,11,<1,2,1
2022-01-23,29,10,<1,34,1
2022-01-30,22,12,1,53,1
2022-02-06,25,12,<1,3,1
2022-02-13,25,10,<1,2,1
2022-02-20,21,10,<1,2,1
2022-02-27,20,11,<1,2,1
2022-03-06,24,9,<1,2,1
2022-03-13,18,9,<1,2,1
2022-03-20,15,8,<1,27,1
2022-03-27,14,11,<1,23,1
2022-04-03,7,10,<1,1,1
2022-04-10,7,11,<1,1,1
2022-04-17,6,10,<1,<1,1
2022-04-24,6,10,<1,1,1
2022-05-01,6,10,<1,<1,1
2022-05-08,6,9,<1,1,1
2022-05-15,8,9,<1,<1,1
2022-05-22,5,9,<1,<1,1
2022-05-29,5,8,<1,1,1
2022-06-05,6,8,<1,1,1
2022-06-12,4,8,1,1,1
2022-06-19,5,8,<1,<1,1
2022-06-26,5,8,<1,<1,1
