channel_id,channel_title,video_id,video_title,video_description,view_count,like_count,favorite_count,comment_count
UCsakKsRww3J7pM6DavkrAIQ,24 Horas,VTEQQsm0ME8,Minsa: vacuna Sinopharm muestra 94% de efectividad,"Varias personas programadas para recibir su segunda dosis de Pfizer en el vacunatorio de Plaza Norte, no pudieron recibirla ya que estas se habían agotado.
Esto se da en medio de los cuestionamientos y rechazos de un grupo de la población tras el uso de la vacuna Sinopharm, representantes del Instituto Nacional de Salud brindaron una conferencia para asegurar la efectividad de la vacuna.""Hay una alta probabilidad de tener una tercera ola (…) y la vacuna de Sinopharm es altamente efectiva para prevenir la muerte"", señaló desde la sede ministerial de la avenida Salaverry, junto al director del INS, Víctor Suárez Moreno.De acuerdo a un estudio de efectividad del INS, la vacuna del laboratorio Sinopharm tiene una efectividad en reducir muertes del 94%, este porcentaje fue el resultado de los estudios basados en la primera inoculación al personal médico en nuestro país.De acuerdo al INS la variante Delta tomaría protagonismo en la tercera ola que se proyecta iniciaría en solo unas semanas. 
Ingresa a http://ptv.pe/328983 para más información
Emitido en el programa 24 Horas Edición Central de Panamericana Televisión el 04/08/2021",1094,15,0,20
UCsakKsRww3J7pM6DavkrAIQ,24 Horas,UY9dgXisEPg,¿Cuál es la efectividad de la vacuna de Sinopharm? (1/2),"1El equipo de “24 Horas Mediodía” entrevistó la tarde de este miércoles al inmunólogo, Juan More Bayona, quien dejó en claro que la vacuna de Sinopharm es igual de efectiva que las elaboradas por otras farmacéuticas.“(Tiene una efectividad) del 78% cuando hacemos el análisis total para enfermedad del COVID-19, pero si nos centramos por ejemplo en el caso de enfermedad severa, enfermedad grave y muerte los porcentajes superan el 90%”, contó el especialista.Además, manifestó que cualquier vacuna nos “confiere una protección frente a la enfermedad severa, frente a la enfermedad mortal”.
2Ingresa a http://ptv.pe/328966 para más información
Emitido en el programa 24 Horas Edición Medio Día de Panamericana Televisión el 04/08/2021",1003,11,0,7
UCY8d83kIW6sK4au73qeZZTw,AFP Español,7FOQUwMQ3ko,Perú compra 52 millones de dosis de vacunas contra el covid-19 a Sinopharm y AstraZeneca | AFP,"Perú anunció el miércoles que llegó a acuerdos de compra con la farmacéutica china Sinopharm para adquirir 38 millones de dosis de su vacuna contra el covid-19, de las que debe recibir un primer millón en enero, y con la británica AstraZeneca por otros 14 millones, informó el gobierno.",7731,130,0,253
UCPhm2I2wk4vqjENwhn3px8A,América Noticias,kOHHxaK0qw8,"¿Cuál es la efectividad de la vacuna de Sinopharm, según estudio del INS?  | Primera Edición","¿Cuál es la efectividad de la vacuna de Sinopharm, según estudio del INS? ",93948,1282,0,367
UCPhm2I2wk4vqjENwhn3px8A,América Noticias,8AmgVyWNx9c,Vacuna Sinopharm tiene 90 % de efectividad en menores de 60 año | Primera Edición,#PrimeraEdición,3626,34,0,32
UCPhm2I2wk4vqjENwhn3px8A,América Noticias,aRhQpxn_3xg,Vacuna Sinopharm: Datos que confirman su efectividad para salvar vidas | Utíl E Interesante,"Si este fin de semana te toca inmunizarte contra la COVID-19, pero aún tienes ciertas dudas; te presentamos los datos claves y verídicos que debes conocer sobre la vacuna de Sinopharm",2174,18,0,43
UCPhm2I2wk4vqjENwhn3px8A,América Noticias,kAlPOoCbpuU,SinoPharm: ¿Qué se sabe de su eficacia y efectos secundarios?  | Sanamente con el Doctor Huerta,#SanamenteConElDrHuerta,10180,112,0,51
UCPhm2I2wk4vqjENwhn3px8A,América Noticias,X_uCR6KWytw,Jefa de los ensayos clínicos de Sinopharm respondió a comisión del Congreso | Primera Edición,#PrimeraEdición,541,2,0,0
UCUBIrDsIVzRpKsClMlSlTpQ,BBC News Mundo,Rj9JiCY49CE,Cuáles son las vacunas chinas que se aplican en América Latina y cuál es su eficacia | BBC Mundo,"China se ha convertido en un proveedor clave de vacunas para América Latina. En este video ahondamos en información sobre las dosis chinas de los laboratorios Sinovac, Sinopharm y Cansino Biologics, y lo que revelan los primeros estudios sobre su eficacia.

● Investigación, guion y presentación: Ana María Roura
● Edición de video: Inma Gil
● Editora: Natalia Pianzola",329018,10802,0,1237
UC_lEiu6917IJz03TnntWUaQ,CNN en Español,XgOj7jh9SrM,Llega a Perú el primer cargamento de vacunas de Sinopharm,"300.000 dosis de la vacuna contra el covid-19 del laboratorio chino llegaron a Perú este domingo. Este es el primer cargamento que recibió el país, de un total de un millón de dosis pactadas con Sinopharm, según el presidente interino Francisco Sagasti. Está programado que el resto de las dosis salgan desde China el próximo 13 de febrero. Sagasti también dijo que siguen avanzando en los acuerdos y negociaciones con otros proveedores para garantizar la inmunización de toda la población lo más pronto posible.
",15983,343,0,263
