,channelId,channelTitle,playlistId,title,publishedAt,description,itemCount
0,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyiyYBi97-so1OyOqdpnzg8,FÚTBOL COMO CANCHA,2024-05-09T20:43:12Z,,1
1,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwKBuiHACaBB24q-ebx_p8x,ASÍ SOMOS,2024-04-16T04:34:50Z,,33
2,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZztGhtNgnjJQB4s_GOqztaA,La 5 más virales,2024-04-06T16:50:57Z,Las 5 noticias más virales del día por RPP,32
3,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZz-9YtAwNfAYFNI_kfw1WHI,HABLEMOS DE MINERÍA,2024-03-22T13:20:26Z,,0
4,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZx0CP1JWKyAO2OE__Zgrw34,Así somos las peruanas,2024-03-05T04:40:33Z,,9
5,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwRAYTpkLN5F2FHZBo1Hpmr,Imperdibles,2024-02-09T12:32:10Z,Las noticias más importantes para que comiences tu día informado,1
6,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyGXyex95Nh6flIlUUABM2D,Diálogo de Fe 2024,2024-01-06T21:41:30Z,,17
7,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxJOeIc1AQgB297aV058OPh,Fenómeno el Niño 2024,2024-01-05T12:51:22Z,,45
8,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZw3XeFxRtmz08TO9CxeRscs,LA ROTATIVA DEL AIRE 2024,2024-01-02T13:05:23Z,,977
9,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZy9Fgz31UnYq5fGoWMM0s0q,CADE Ejecutivos 2023,2023-11-14T13:29:27Z,,46
10,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyXkSBgYBxo2sUL67sIXt4J,HABLEMOS SOSTENIBLEMENTE,2023-11-14T04:29:25Z,,45
11,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZz7qY3F017E3HTidUyHvOvJ,DIÁLOGO DE FE 2023,2023-11-04T16:26:18Z,,9
12,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwlBJoDzauhVrsaYx66SLH_,RPP 60 AÑOS,2023-10-27T21:08:28Z,,7
13,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwAxSyGgK4AzSPGiOyFcTAu,EMPRESAS QUE TRANSFORMAN,2023-10-15T14:25:59Z,,8
14,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZw9uZHmQDxU3YcNnUHchhd0,NUTRIAGENDA,2023-10-05T19:31:39Z,Un podcast dedicado a hurgar en el conocimiento más actualizado de los expertos en la ciencia de la nutrición y la salud para sintetizarlos en datos útiles que puedas aplicar a tu estilo de vida y además resuelvan las dudas y mitos más comunes. Acompáñame a develar lo que debes saber sobre nutrición y dietas.,28
15,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZz8vBl0m4i-m1DQXgoQiTMq,ADN Shorts,2023-10-04T19:20:23Z,,27
16,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzRo0Wx20l610gTT5L4x8rT,Nutrición con Sara Abu Sabbah 🍎,2023-10-03T19:57:32Z,,1
17,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxjwuXnr0ti-5TL6LwW3wyw,CIENCIA AL DÍA,2023-09-26T23:49:54Z,La ciencia como nunca te la contaron. Descubre junto al renombrado científico Patricio Valderrama las más importantes novedades y las curiosidades más extrañas que te ayudarán a comprender los fenómenos que nos rodean de la manera más didáctica y entretenida. Encuentra aquí las mejores entrevistas a los científicos del momento porque la ciencia está a la orden del día.,28
18,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxB-tvLIgsnzzT0Qnso4_a8,LAS NOTICIAS,2023-09-19T01:29:04Z,,160
19,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZw02MzZEDIZC-RXqeiMrIot,NUNCA ES TARDE,2023-09-18T23:25:02Z,,547
20,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwwm6ZbgZKqbnVuExrk84Wx,#NuestraTierraCelebra,2023-07-25T22:33:57Z,,81
21,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxQf7ltbg50049xZQzkZBGn,Directo En Directo,2023-07-07T15:09:10Z,,1
22,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxG0u0S8MFbixfBjCfIE7SW,Machu Picchu: Maravilla del mundo,2023-07-06T18:38:41Z,,11
23,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzZJIZw2VEqSo26DxwXidse,MES JUBILAR DE CUSCO,2023-06-19T23:05:34Z,,7
