,channelId,channelTitle,playlistId,title,publishedAt,description,itemCount
55,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxgQnVAwzEL2QpxNb2y53_3,MUNDO SALUD,2022-10-27T21:19:05Z,,37
57,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwmCAljNIKxjDICGZqDT0X1,ADN REGIONAL,2022-10-20T19:06:03Z,,193
59,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZy7i5tRpIh5kvNy9wA66aWv,Cortos Internacionales RPP,2022-09-15T16:05:18Z,,2
62,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzFRvUo2UdZUBSUEQizAAvA,Valgan Verdades,2022-09-05T13:00:03Z,Te resumimos la enmarañada coyuntura nacional.,274
65,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxpff-ghyAcgSSD3jklLp_0,EL PODER EN TUS MANOS | AL DÍA,2022-08-05T18:54:51Z,,115
66,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzADibT5kiHhQhnvfywZJuy,Cortos RPP,2022-08-04T16:15:00Z,,202
67,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyIAXu8FVrGoVL3VHkXokbV,FIESTAS PATRIAS POR RPP,2022-07-28T19:32:46Z,,38
69,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwxnYHAJn3aCPD7nyvNjYdp,AMPLIACIÓN DE NOTICIAS (ADN),2022-07-10T17:24:50Z,La noticia en voz de los protagonistas.,3872
75,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzmQQT9ILAr5XI08eM_z7Ak,TODO SE SABE 2022,2022-05-17T00:46:20Z,Omar Mariluz entrevista a los protagonistas de la noticia en Todo se sabe.,978
77,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZygwMrKMGHNJ5Xjp7lqo-qm,RPP SALUD,2022-05-09T23:12:04Z,Programa de salud con la periodista Laura Amasifuén.,25
78,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwTof6SSJYe0V2ntOL76THc,MUNDO,2022-05-09T18:08:37Z,,243
