"video_id","channel_title","channel_id","video_publish_date","video_title","video_description","video_category","video_view_count","video_comment_count","video_like_count","video_dislike_count","video_tags"
"n7OW7WGE5HU","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-02,"¿Qué medicamentos han mostrado su eficacia para combatir la COVID-19?","El investigador del INS de ciencias biomédicas de la universidad Ricardo Palma, Alonso Soto, explicó las consecuencias de la automedicación para combatir la COVID-19.

#QuédateEnCasa
SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",3203,9,14,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Programas peruanos|Programas del Perú|Noticias del Perú|coronavirus peru|estado de emergencia peru|COVID-19 en Perú|Martín Vizcarra|cuarentena peru|Walter martos|medicamentos contra el covid|ivermectica|hidroxicloroquina|dioxido de clor"
"vcTL1N219z0","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-03,"Abogado de Richard Cisneros: “No se acogerá a ninguna colaboración eficaz""","El abogado de Richard Cisneros, Juan Varillas, indicó que los argumentos de la Fiscalía se basan en suposiciones subjetivas.

#QuédateEnCasa
SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",10487,43,86,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Programas peruanos|Programas del Perú|Noticias del Perú|coronavirus peru|estado de emergencia peru|COVID-19 en Perú|Martín Vizcarra|cuarentena peru|Walter martos|richard cisneros|mirian morales|juan varillas|karem roca|detencion preliminar|vacancia vizcarra|richard swing"
"wUdcY1f-_mQ","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-06,"Caso Lava Jato: Procuraduría General firma fideicomiso que garantizará el pago de reparación civil","El procurador general del Estado, Daniel Soria y Silvana Carrión, procuradora ad hoc para el caso Odebrecht, brindan detalles en RPP sobre un fideicomiso FIRMADO entre la procuraduría general del estado y la empresa Odebrecht que busca asegurar la reparación civil que Odebrecht pagará como parte del Acuerdo de Colaboración Eficaz. 


SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",1113,8,8,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Lima|Noticias|Información|Directo En Directo|Peruanos|Peruanos en USA|Programas peruanos|Programas del Perú|Radio Programas del Perú|Noticias del Perú|coronavirus en Perú|Vizcarra hoy|Casos de coronavirus hoy|casos covid hoy|procurador general del Estado|Daniel Soria|Silvana Carrión|procuradora ad hoc|caso Odebrecht|acuerdo firmado|procuraduría general|Odebrecht"
"ONoEqiwxPqE","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-13,"Gotuzzo: “Deben revisar conclusiones del estudio IETSI, no son correctos el enfoque y el análisis”","El Minsa decidió retirar la azitromicina, ivermectina e hidroxicloroquina de la guía del tratamiento contra la COVID-19. El médico infectólogo Eduardo Gotuzzo, se pronuncia sobre la resolución que dispone el retiro de estos productos.

SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",9799,106,82,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Lima|Noticias|Información|Directo En Directo|Peruanos|Peruanos en USA|Programas peruanos|Programas del Perú|Radio Programas del Perú|Noticias del Perú|coronavirus en Perú|Vizcarra hoy|Casos de coronavirus hoy|casos covid hoy|Minsa|azitromicina|ivermectina|hidroxicloroquina|médico infectólogo|Eduardo Gotuzzo|tratamiento hospitalario|pacientes"
"VAQwcXVrExk","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-13,"Azabache sobre señalamiento a Vizcarra: Si esas llamadas se confirman, esta historia estaría cerrada","César Azabache dijo que el testimonio de un aspirante a colaborador eficaz sobre un presunto soborno de un millón de soles el 2013 al ahora presidente de la República, Martín Vizcarra, está acompañada de documentos que le dan verosimilitud.


#QuédateEnCasa
SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",17542,121,111,NA,"RPP|RPP Noticias|Noticias Peru|Perú|César Azabache|Martín Vizcarra|Colaborador eficaz|Aspirante a colaborador"
"U34Ges4AoYY","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-13,"Graciela Villasís: “Obrainsa no había firmado el contrato cuando Vizcarra pidió la avioneta”","La jefa de la unidad de investigación del diario El Comercio, Graciela Villasís, explicó la investigación que compromete al jefe de Estado, Martín Vizcarra. Según un aspirante a colaborador eficaz, Vizcarra habría recibido un pago ilícito de un millón de soles.

#QuédateEnCasa
SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",9527,151,81,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Programas peruanos|Programas del Perú|Noticias del Perú|coronavirus peru|estado de emergencia peru|COVID-19 en Perú|Martín Vizcarra|cuarentena peru|Walter martos|graciela villasis|el comercio|obrainsa|colaborador eficaz|Astaldi"
"rzuTF0n7bxE","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-14,"Henry Trujillo: “la obesidad aumentó el riesgo de muerte por COVID-19”","Más del 60% de peruanos mayores de 15 años sufre de sobrepeso u obesidad y podría hacer formas graves de COVID-19. “La obesidad aumentó el riesgo de muerte por covid-19”, sostuvo Henry Trujillo, nutricionista del Inst. Nacional de Salud del MINSA.  


SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",282,4,3,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Lima|Noticias|Información|Directo En Directo|Peruanos|Peruanos en USA|Programas peruanos|Programas del Perú|Radio Programas del Perú|Noticias del Perú|coronavirus en Perú|Vizcarra hoy|Casos de coronavirus hoy|casos covid hoy|obesidad|Henry Trujillo|nutricionista|Inst. Nacional de Salud|MINSA"
"lWzaji0sjeo","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-15,"Gozzer: “por ningún motivo deben usar antibióticos, anticoagulantes o corticoides en casos COVID-19”","Rebrote de la COVID-19 alcanzaría picos como los de agosto: ¿Perú se está preparando para lo inminente? ¿el cierre de playas puede ser una medida efectiva? Ernesto Gozzer, médico especialista en salud pública, analiza estos temas en RPP. 


SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",4371,21,15,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Lima|Noticias|Información|Directo En Directo|Peruanos|Peruanos en USA|Programas peruanos|Programas del Perú|Radio Programas del Perú|Noticias del Perú|coronavirus en Perú|Vizcarra hoy|Casos de coronavirus hoy|casos covid hoy|cierre de playas|Ernesto Gozzer|salud pública|antibióticos|anticoagulantes|corticoides"
"pzASZk9-k8Y","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-15,"Perú: ¿qué funciones tendrá el Consejo Nacional de Salud Mental?","Yuri Cutipé, dir. de la Dirección de Salud Mental del MINSA nos detalla ¿qué funciones tendrá el Consejo Nacional de Salud Mental en el país? “El Perú nunca tuvo un planeamiento de salud mental”, sostuvo 


SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",1237,10,24,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Lima|Noticias|Información|Directo En Directo|Peruanos|Peruanos en USA|Programas peruanos|Programas del Perú|Radio Programas del Perú|Noticias del Perú|coronavirus en Perú|Vizcarra hoy|Casos de coronavirus hoy|casos covid hoy|Yuri Cutipé|Salud Mental|MINSA|Consejo Nacional de Salud Mental"
"38Ed6XC52u4","RPP Noticias","UC5j8-2FT0ZMMBkmK72R4aeA",2020-10-15,"“Declaración de colaborador eficaz amerita respuesta inmediata del MP”","El exfiscal supremo, Avelino Guillén, indicó que la declaración del aspirante a colaborador eficaz es de tal gravedad que amerita una respuesta inmediata por parte del Ministerio Público.

#QuédateEnCasa
SUSCRÍBETE ► http://ow.ly/Uzfi3 
Web: http://www.rpp.pe  
Facebook: https://www.facebook.com/rppnoticias?ref=ts&fref=ts
Twitter: https://twitter.com/RPPNoticias

#RPPNoticias. La voz del Perú. Noticias del Perú y el mundo, las 24 horas del día.","25",12729,128,90,NA,"RPP|RPP Noticias|Noticias Peru|Perú|Programas peruanos|Programas del Perú|Noticias del Perú|coronavirus peru|estado de emergencia peru|COVID-19 en Perú|Martín Vizcarra|cuarentena peru|Walter martos|avelino guillen|richard cisneros|richard swing|obrainsa|club de la construccion"
