"channel","publish_date","Program","title","views","comments","likes","dislikes"
"Willax Televisión",2020-10-07,"Milagros Leiva Entrevista","Ernesto Bustamante anuncia participación en lista congresal de Fuerza Popular - OCT 06",636,3,19,0
"Willax Televisión",2020-10-29,"Combutters","Segunda ola llegó a europa - OCT 28 - 3/4 | Willax",4750,1,111,0
"Willax Televisión",2020-11-07,"Beto a Saber","Ernesto Bustamante: ""La propaganda de Vizcarra es de mal gusto"" - NOV 05",630,1,10,0
"Willax Televisión",2020-11-17,"Combutters","Vacuna estadounidense pasa a la delantera - NOV 16 - 4/4 | Willax",2090,7,41,0
"Willax Televisión",2020-12-03,"Combutters","VACUNA: HAY LUZ AL FINAL DEL TÚNEL - DIC 02 - 3/4 | Willax",2340,11,60,0
"Willax Televisión",2020-12-15,"Milagros Leiva Entrevista","Milagros Leiva Entrevista-PALABRAS, PALABRAS, PALABRAS: EL CUENTO DE LAS VACUNAS- DIC 14- 1/4|Willax",10207,94,323,0
"Willax Televisión",2020-12-15,"Milagros Leiva Entrevista ","""LA VACUNA NO ESTARÁ A LA VUELTA DE LA ESQUINA"" - DIC 14 - 2/4 | Willax",10278,45,255,0
"Willax Televisión",2020-12-15,"Beto a Saber ","MIRA QUIÉN HABLA - DIC 14 - 2/3 | Willax",145626,901,2062,0
"Willax Televisión",2020-12-15,"Combutters","LA `MECIDA´ DE LA VACUNA - DIC 14 - 1/4 | Willax",19823,106,606,0
"Willax Televisión",2020-12-16,"Milagros Leiva Entrevista ","MÁS CERCA DE LA SEGUNDA OLA QUE DE LAS VACUNAS - DIC 15 - 1/4 | Willax",8813,67,226,0
"Willax Televisión",2020-12-16,"Milagros Leiva Entrevista ","""EL MANEJO DE LA PANDEMIA HA SIDO CATASTRÓFICO"" - DIC 15 - 2/4 | Willax",8165,46,214,0
"Willax Televisión",2020-12-16,"Combutters","VACUNA: LA CANCILLER NO ASUME NADA - DIC 15 - 2/4 | Willax",15230,74,439,0
"Willax Televisión",2020-12-17,"Milagros Leiva Entrevista ","A FALTA DE VACUNAS, VUELVEN LAS RESTRICCIONES - DIC 16 - 1/4 |Willax",10585,73,259,0
"Willax Televisión",2020-12-18,"Milagros Leiva Entrevista ","VIZCARRA Y LA VACUNA QUE NO LLEGARÁ - DIC 17 - 1/4 | Willax",13422,141,344,0
