video_id,channel_title,channel_id,video_publish_date,program,program_date,video_title,video_description,video_view_count,video_comment_count,video_like_count,video_dislike_count,video_tags
yPgMc7mA6yw,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-10-07,Milagros Leiva Entrevista,OCT 06,Ernesto Bustamante anuncia participación en lista congresal de Fuerza Popular,"Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",636,3,19,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
9NKE9OQ9BTk,PBO,UCgR0st4ZLABi-LQcWNu3wnQ,2020-10-24,PBO MEDIODÍA ,OCT 24,Exjefe del INS Ernesto Bustamante sobre la segunda ola COVID 19 y FUERZA POPULAR y KEIKO FUJIMORI,Exjefe del #INS #ErnestoBustamante sobre la segunda ola #COVID19 y #FuerzaPopular,7266,22,310,0,
jcSbPDRAvEc,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-10-29,Combutters,OCT 28,Segunda ola llegó a europa -  3/4 | Willax,"La carrera por encontrar una vacuna que cure o evite  los contagios de Covid 19 sigue a paso raudo. A países como China, Rusia y el Reino Unido se han sumado otras naciones que empiezan a desarrollar sus propias medicinas. Es el caso de España que a través de la compañía RUTI Immune, ya inició los trámites para iniciar ensayos clínicos en Argentina.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido.",4750,1,111,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video|phillip butters|combutters|periodismo|entrevista|política|magazine|futbol|lapadula|vacuna|cura|tratamiento|segunda ola|covid
t5AsmlQtnpE,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-11-07,Beto a Saber,NOV 05,"Ernesto Bustamante: ""La propaganda de Vizcarra es de mal gusto""","Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",630,1,10,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
Jrfc01d6rKY,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-11-17,Combutters,NOV 16,Vacuna estadounidense pasa a la delantera - 4/4 | Willax,"Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",2090,7,41,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
duE2l__1D8M,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-03,Combutters,DIC 02,VACUNA: HAY LUZ AL FINAL DEL TÚNEL - 3/4 | Willax,"Buenas noticias en torno a la lucha contra el Covid llegan desde el Reino Unido.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 

",2340,11,60,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video|phillip butters|combutters|periodismo|entrevista|política|magazzine|vacuna|uk|Inglaterra|oxforth|reina Isabel|covid|corona|virus|pandemia|Rusia|llego|aprobada|reino unido|Pfizer|BioNTech
x0aPFUoSxrU,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-15,Milagros Leiva Entrevista,DIC 14,"Milagros Leiva Entrevista-PALABRAS, PALABRAS, PALABRAS: EL CUENTO DE LAS VACUNAS - 1/4|Willax","Entrevista a Jaime Reusche del Comando Vacuna sobre la situación del país con respecto a la compra de las vacunas.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",10207,94,323,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
2CsbyAgqaow,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-15,Milagros Leiva Entrevista ,DIC 14,"""LA VACUNA NO ESTARÁ A LA VUELTA DE LA ESQUINA"" - 2/4 | Willax","Una entrevista con Abel Salinas, Ex-Ministro de Salud, sobre la situación de la Salud en el país y la situación con la vacuna en el Perú.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",10278,45,255,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
CXSq82B6iHg,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-15,Beto a Saber ,DIC 14,MIRA QUIÉN HABLA   - 2/3 | Willax,"Mijael Garrido Lecca, convesa con Beto sobre la situación nacional con respecto a la vacuna contra el Covid y una crítica aguda a la gestión de Martín Vizcarra, así como de su excompañera Sigrid Bazán, el diario Perú 21 y en general el papel que la prensa está jugando en esta situación.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido.",145626,901,2062,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
bSp_LNMLKUI,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-15,Combutters,DIC 14,LA `MECIDA´ DE LA VACUNA   - 1/4 | Willax,"El Gobierno empieza a cambiar la versión en cuanto a la llegada de las vacunas. Las promesas fueron ave de paso y la razón, según la premier, sería la crisis política.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",19823,106,606,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video|phillip butters|combutters|periodismo|entrevista|política|magazzine|francisco sagasti|uci|vizcarra|zamora|cams uci|segunda ola|recrote|vacuna|violeta bermudez|promesas|trimestre|semestre|floro|mucho floro
